"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4935","Monitor Module","chromium","Wed Apr 09 15:45:09 IST 2025","passed","Wed Apr 09 15:45:14 IST 2025","Home Page Test","HomePage.spec.js","",""
"","12144","Add To Cart","chrome","Tue Jan 07 19:21:45 IST 2025","passed","Tue Jan 07 19:21:57 IST 2025","","AddTOCart.spec.js","",""
"","6810","Laptop Module","chromium","Wed Apr 09 15:45:00 IST 2025","passed","Wed Apr 09 15:45:07 IST 2025","Home Page Test","HomePage.spec.js","",""
"","5127","Phone Module","chromium","Wed Apr 09 15:44:47 IST 2025","passed","Wed Apr 09 15:44:52 IST 2025","Home Page Test","HomePage.spec.js","",""
"","18472","Add To Cart","chromium","Wed Apr 09 15:44:47 IST 2025","passed","Wed Apr 09 15:45:05 IST 2025","","AddTOCart.spec.js","",""
"","3257","login","chromium","Wed Apr 09 15:45:44 IST 2025","passed","Wed Apr 09 15:45:47 IST 2025","descibe test","LoginPage.spec.js","",""
